generation,Individual,Fitness,Genome,steric_stiff,steric_range,surface_stiff,anchor_density,anchor_stiff,hydrolysis
gen0020,98,0.709583,00000011101101100001100001110000,100.0,0.05765625,19.375,21.875,78.125,0.275
gen0020,99,1.847898,00011111100011011101010001001000,526.5625,0.056249999999999994,43.109375,19.0625,78.125,0.21250000000000002
gen0020,100,1.927156,00001011100011110101000000001100,221.875,0.056249999999999994,47.703125,16.25,50.0,0.21875
gen0020,101,1.291408,00000111110011011010111001001000,160.9375,0.058124999999999996,42.34375,35.9375,303.125,0.21250000000000002
gen0020,102,1.993423,00011011100011011101111101101001,465.625,0.056249999999999994,43.109375,24.6875,415.625,0.2640625
gen0020,103,1.046207,00000111100010100101111001001101,160.9375,0.056249999999999994,32.390625,24.6875,303.125,0.22031250000000002
gen0020,104,3.847469,00000001000011101101000001110001,100.0,0.0375,46.171875,16.25,78.125,0.2765625
gen0020,105,0.682241,00000011100011101101110010011001,100.0,0.056249999999999994,46.171875,24.6875,106.25,0.2390625
gen0020,106,0.63415,00000011100011111010111111000101,100.0,0.056249999999999994,48.46875,35.9375,471.875,0.2078125
gen0020,107,0.889375,00000011100111010001111011101101,100.0,0.05671875,40.8125,24.6875,359.375,0.2703125
gen0020,108,0.766952,00000110000010011100111001001101,160.9375,0.045,30.859375,13.4375,303.125,0.22031250000000002
gen0020,109,1.35586,00000011101101011101111011101000,100.0,0.05765625,18.609375,24.6875,359.375,0.2625
gen0020,110,2.488018,11000010100110100001111001001000,3025.0,0.04921875,31.625,24.6875,303.125,0.21250000000000002
gen0020,111,1.757414,00000011000101110001101011110010,100.0,0.052968749999999995,22.4375,21.875,359.375,0.278125
gen0020,112,2.051235,00100111001010010010100011101010,648.4375,0.0534375,28.5625,33.125,134.375,0.265625
gen0020,113,1.097192,00000111000011011010100011101010,160.9375,0.0525,42.34375,33.125,134.375,0.265625
gen0020,114,0.340649,00000011110011110001111011000101,100.0,0.058124999999999996,46.9375,24.6875,359.375,0.2078125
gen0020,115,0.896798,00000011100011011011111101010000,100.0,0.056249999999999994,42.34375,47.1875,415.625,0.225
gen0020,116,2.084117,00000011000001110001110001110011,100.0,0.0525,22.4375,24.6875,78.125,0.2796875
gen0020,117,1.588881,00000011100110001011000000101100,100.0,0.05671875,27.03125,38.75,50.0,0.26875
gen0020,118,0.454076,00000110110001101010111001001100,160.9375,0.050624999999999996,20.90625,35.9375,303.125,0.21875
gen0020,119,6.512012,00000000010101101010111110010001,100.0,0.03234375,20.90625,35.9375,443.75,0.2265625
gen0020,120,0.782049,00000011101011011010111001001001,100.0,0.0571875,42.34375,35.9375,303.125,0.21406250000000002
gen0020,121,1.907475,00000111101011111110111101001001,160.9375,0.0571875,49.234375,35.9375,415.625,0.21406250000000002
gen0020,122,0.424925,00000011100011011010100011101010,100.0,0.056249999999999994,42.34375,33.125,134.375,0.265625
gen0020,123,1.069753,00010111000001110001001111111001,404.6875,0.0525,22.4375,16.25,471.875,0.2890625
gen0020,124,1.318474,00000011111110110100010001001000,100.0,0.059531249999999994,35.453125,7.8125,78.125,0.21250000000000002
gen0020,125,2.363451,01000011100001011111111101101001,1075.0,0.056249999999999994,18.609375,47.1875,415.625,0.2640625
gen0020,126,2.184503,00100011100111101001111010001001,587.5,0.05671875,45.40625,24.6875,331.25,0.21406250000000002
gen0020,127,1.86293,00001011100110101001101011101100,221.875,0.05671875,33.15625,21.875,359.375,0.26875
gen0020,128,1.012628,00000011100001011100101101010010,100.0,0.056249999999999994,18.609375,10.625,415.625,0.228125
gen0020,129,0.735807,00000011100010010010111111110010,100.0,0.056249999999999994,28.5625,35.9375,471.875,0.278125
gen0020,130,1.512586,00000011110001100011011101011011,100.0,0.058124999999999996,19.375,41.5625,415.625,0.2421875
gen0020,131,0.916699,00000011110011101101100101110010,100.0,0.058124999999999996,46.171875,21.875,190.625,0.278125
gen0020,132,3.764929,00000001100101100001100101111000,100.0,0.04171875,19.375,21.875,190.625,0.2875
gen0020,133,0.546032,00000011110101011001101011101100,100.0,0.05859375,17.84375,21.875,359.375,0.26875
gen0020,134,1.012961,00000011100011011010100011000011,100.0,0.056249999999999994,42.34375,33.125,134.375,0.20468750000000002
gen0020,135,1.528921,00001011100110101001101001101100,221.875,0.05671875,33.15625,21.875,303.125,0.26875
gen0020,136,1.337583,00000011101101010001001011101100,100.0,0.05765625,16.3125,16.25,359.375,0.26875
gen0020,137,1.442984,00000011100101101001100001111000,100.0,0.05671875,20.90625,21.875,78.125,0.2875
gen0020,138,0.901631,00011100101101110001111100101000,526.5625,0.03515625,22.4375,24.6875,387.5,0.2625
gen0020,139,1.361079,00000011110111011010111011101100,100.0,0.05859375,42.34375,35.9375,359.375,0.26875
gen0020,140,2.257865,00100011100011011010100011000011,587.5,0.056249999999999994,42.34375,33.125,134.375,0.20468750000000002
gen0020,141,1.166331,00001011100011010101010101100101,221.875,0.056249999999999994,41.578125,19.0625,190.625,0.2578125
gen0020,142,2.295266,10000011100011100001111001001000,2050.0,0.056249999999999994,43.875,24.6875,303.125,0.21250000000000002
gen0020,143,1.44923,00000111001101101111011101001100,160.9375,0.05390625,21.671875,41.5625,415.625,0.21875
gen0020,144,0.677363,00000111000110000101100001011110,160.9375,0.052968749999999995,26.265625,21.875,78.125,0.246875
gen0020,145,2.252466,00001011110011101001100101110010,221.875,0.058124999999999996,45.40625,21.875,190.625,0.278125
gen0020,146,0.339878,00000011100010110001101010001010,100.0,0.056249999999999994,34.6875,21.875,331.25,0.215625
gen0020,147,0.614012,00000011110011101000100101110010,100.0,0.058124999999999996,45.40625,10.625,190.625,0.278125
gen0020,148,1.068154,00000011100011110101101011001000,100.0,0.056249999999999994,47.703125,21.875,359.375,0.21250000000000002
gen0020,149,0.665536,00000110000111011010100011101000,160.9375,0.04546875,42.34375,33.125,134.375,0.2625
gen0020,150,1.973456,00001011100011110101010101110101,221.875,0.056249999999999994,47.703125,19.0625,190.625,0.2828125
gen0020,151,0.88485,00000011100011011001111011101100,100.0,0.056249999999999994,42.34375,24.6875,359.375,0.26875
gen0020,152,2.007343,00010011110111111000111011101100,343.75,0.05859375,48.46875,13.4375,359.375,0.26875
gen0020,153,2.209319,00010011000010101101000001110100,343.75,0.0525,33.921875,16.25,78.125,0.28125
gen0020,154,1.6434,00010001000001110001001101110101,343.75,0.0375,22.4375,16.25,415.625,0.2828125
gen0020,155,1.054511,00000011100010010011111111110010,100.0,0.056249999999999994,28.5625,47.1875,471.875,0.278125
gen0020,156,2.343224,00011011100011010000110001111000,465.625,0.056249999999999994,40.8125,13.4375,78.125,0.2875
gen0020,157,2.410059,00000010100101101101000001111000,100.0,0.04921875,21.671875,16.25,78.125,0.2875
gen0020,158,1.566058,00001011110110010001110001101001,221.875,0.05859375,28.5625,24.6875,78.125,0.2640625
gen0020,159,1.055881,00000011100011011000101010101100,100.0,0.056249999999999994,42.34375,10.625,331.25,0.26875
gen0020,160,0.169346,00000111001101101101011101000100,160.9375,0.05390625,21.671875,19.0625,415.625,0.20625000000000002
gen0020,161,1.772111,00000010100111101001110010001001,100.0,0.04921875,45.40625,24.6875,106.25,0.21406250000000002
gen0020,162,1.847239,00000011100010010000111111110010,100.0,0.056249999999999994,28.5625,13.4375,471.875,0.278125
gen0020,163,1.403608,00000010100011011010100011100011,100.0,0.04875,42.34375,33.125,134.375,0.2546875
gen0021,0,1.104569,00000011100011110001111010001000,100.0,0.056249999999999994,46.9375,24.6875,331.25,0.21250000000000002
gen0021,1,0.727546,00000111001101101101011101000100,160.9375,0.05390625,21.671875,19.0625,415.625,0.20625000000000002
gen0021,2,0.543607,00000110100010100101111000001001,160.9375,0.04875,32.390625,24.6875,275.0,0.21406250000000002
gen0021,3,0.814818,00000011100011011110100001011011,100.0,0.056249999999999994,43.109375,33.125,78.125,0.2421875
gen0021,4,0.621838,00000011100011101101111110011001,100.0,0.056249999999999994,46.171875,24.6875,443.75,0.2390625
gen0021,5,0.75114,00000011100111001101001001111110,100.0,0.05671875,40.046875,16.25,303.125,0.296875
gen0021,6,0.798127,00000011100011011101100101110000,100.0,0.056249999999999994,43.109375,21.875,190.625,0.275
gen0021,7,0.97561,00000011100010110001101010001010,100.0,0.056249999999999994,34.6875,21.875,331.25,0.215625
gen0021,8,0.57321,00000011110011110001111011000101,100.0,0.058124999999999996,46.9375,24.6875,359.375,0.2078125
gen0021,9,0.390867,00001011110101011001110001001000,221.875,0.05859375,17.84375,24.6875,78.125,0.21250000000000002
gen0021,10,0.77515,00000011100111101001110010001001,100.0,0.05671875,45.40625,24.6875,106.25,0.21406250000000002
gen0021,11,0.689478,00000011100011011010100011100000,100.0,0.056249999999999994,42.34375,33.125,134.375,0.25
gen0021,12,0.668133,00000011100011011110100011101010,100.0,0.056249999999999994,43.109375,33.125,134.375,0.265625
gen0021,13,0.66758,00000011100011011010100011101010,100.0,0.056249999999999994,42.34375,33.125,134.375,0.265625
gen0021,14,0.527446,00000011101011100101010011111001,100.0,0.0571875,44.640625,19.0625,134.375,0.2890625
gen0021,15,1.454968,00000011001101100001111011111000,100.0,0.05390625,19.375,24.6875,359.375,0.2875
gen0021,16,1.997452,01000011110101011001101011101001,1075.0,0.05859375,17.84375,21.875,359.375,0.2640625
gen0021,17,0.814439,10000111101000000001010001001000,2110.9375,0.0571875,1.0,19.0625,78.125,0.21250000000000002
gen0021,18,1.342413,00000011100101011111111101101001,100.0,0.05671875,18.609375,47.1875,415.625,0.2640625
gen0021,19,1.438326,00000011110001100010110000001100,100.0,0.058124999999999996,19.375,35.9375,50.0,0.21875
gen0021,20,1.972051,00000011100011110001000001001000,100.0,0.056249999999999994,46.9375,16.25,78.125,0.21250000000000002
gen0021,21,3.190666,00000010100101110001001011000101,100.0,0.04921875,22.4375,16.25,359.375,0.2078125
gen0021,22,0.911237,00001100110111101101111101001001,282.8125,0.03609375,46.171875,24.6875,415.625,0.21406250000000002
gen0021,23,0.654676,00000011100011110101101011001000,100.0,0.056249999999999994,47.703125,21.875,359.375,0.21250000000000002
gen0021,24,1.03112,00001011111101011001000101101100,221.875,0.059531249999999994,17.84375,16.25,190.625,0.26875
